"Id","Promotor","Cliente","Fecha","Descripcion","Moneda","TC","Cotizado cliente","Status"
"13949","ORLANDO MARTINEZ","PUBLICO EN GENERAL","17/08/26","","MXN","$ 17.0218","$ 5,452.73","Aceptada"
"13945","ANA MARGARITA SAHAGUN","CORNING OPTICAL COMMUNICATIONS","17/08/26","Goods Plant:RAM #RFQReq:227871 #Vendor:266798#","MXN","$ 17.0218","$ 57,169.41","Aceptada"
"13942","HECTOR VELA","PUBLICO EN GENERAL","17/08/26","REVISION Y CONFIGURACION DE BIOMETRICO + CABLEADO DE NODO DE RED (JARACHINA SUR)","MXN","$ 17.0218","$ 7,821.26","Aceptada"
"13923","CELESTE LANDA","E&M INDUSTRIAL SUPPLIES","13/08/26","TEXTONEO DE PARED  Y PINTURA","MXN","$ 17.0627","$ 57,279.54","Aceptada"
"13922","ALFREDO PALOMINO","AMETEK LAMB MOTORES DE MEXICO","13/08/26","Cotizacion de scanner","MXN","$ 17.0627","$ 4,197.42","Aceptada"
"13921","ALFREDO PALOMINO","AMETEK LAMB MOTORES DE MEXICO","13/08/26","INSTALACION DE 14 SERVICIOS DE RED CUARTO PDS","MXN","$ 17.0627","$ 36,772.47","Aceptada"
"13920","ALFREDO PALOMINO","ALCOM ELECTRONICOS DE MEXICO","13/08/26","COTIZACION ARTICULOS DE PC","MXN","$ 17.0627","$ 6,190.80","Aceptada"
"13914","ALFREDO PALOMINO","AMETEK LAMB MOTORES DE MEXICO","11/08/26","INSTALACION DE 32 NODOS DE RED DIVISION ROTRON PL4","MXN","$ 17.1408","$ 79,271.34","Aceptada"
"13910","HECTOR VELA","IMPRESORA DONNECO INTERNACIONAL","11/08/26","INSTALACION DE CAMARA TURBO HD AREA DE RAMPAS (PARTE EXTERNA)","MXN","$ 17.1408","$ 5,292.64","Aceptada"
"13908","HECTOR VELA","COMSA. COMBUSTIBLES MEXICANOS","10/08/26","SUMINISTRO E INSTALACION DE DISCO DURO, REMPLAZO DE CONECTORES DE VIDEO Y REACOMODO DE CABLE DEL GRABADOR","MXN","$ 17.1387","$ 14,130.72","Aceptada"
"13903","RAMIRO LEE","FILTERTEK DE MEXICO","10/08/26","#13903 -  OC #480R7648 - Cotización de Mouses - Daniel Guillermo - Pin 7885.","MXN","$ 17.1387","$ 4,600.00","Aceptada"
"13902","RAMIRO LEE","CORNING OPTICAL COMMUNICATIONS","10/08/26","#13902 - PO 4502059151 - #RFQReq:230079 - 25 cámaras Vivotek - Pin 8421.","MXN","$ 17.1387","$ 256,590.50","Aceptada"
"13896","ALFREDO PALOMINO","ALCOM ELECTRONICOS DE MEXICO","07/08/26","REPERACION DEL SISTEMA DE VOCEO SMT","MXN","$ 17.2195","$ 24,597.46","Aceptada"
"13895","ALFREDO PALOMINO","AMETEK LAMB MOTORES DE MEXICO","07/08/26","INSTALACION DE SERVICIO DE RED AREA CAFETERIA PLANTA 4","MXN","$ 17.2195","$ 8,224.61","Aceptada"
"13885","RAMIRO LEE","AUTOMOTIVE MAQUILADORA","06/08/26","Proyecto#13885 - OC#70553 - 2 (Enhance Security)                                                               2 arcos detectores de metal (Planta 7) PD 6500i 33 zonas detección. 3 arcos detectores de metal (Planta 8) PD 6500i 33 zonas detección - Pin 8075.","MXN","$ 17.2317","$ 473,185.78","Aceptada"
"13882","Zaira Palomino","COMERCIALIZADORA INDUSTRIAL ORMEX","05/08/26","MATERIALES USO ORMEX AGOSTO 2026","MXN","$ 17.2717","$ 0.00","Aceptada"
"13881","Zaira Palomino","ORLANDO AYALA MARTINEZ","05/08/26","MATERIALES DE USO INTERNO AGOSTO 2026","MXN","$ 17.2717","$ 0.00","Aceptada"
